,measure,descr,param,mean,sd,25%,75%,2.50%,97.50%,Rhat,geno,trt,Pr
"b[7]","max_rgr","(geno)5","beta",0.344676213878908,0.502315104801901,0.0123504192075861,0.676224441395118,-0.636770615527693,1.33394726526788,0.999927076789297,"none","none",0.68
"b[8]","max_rgr","(trt)15:(geno)2","beta",0.270020888364342,0.700473668065514,-0.207856033274599,0.744895200271366,-1.08877077407208,1.64750754256157,0.999953642106423,"none","none",0.6
"b[9]","max_rgr","(trt)20:(geno)2","beta",1.15687404743762,0.725747430150652,0.665038044343517,1.64534878448189,-0.231120692759064,2.60521619466024,1.00021065708042,"none","none",0.92
"b[10]","max_rgr","(trt)25:(geno)2","beta",1.55002430643864,0.732029656928002,1.05925161454965,2.04501388192909,0.116008890765592,2.98088646299529,0.999825900348234,"none","none",1
"b[11]","max_rgr","(trt)30:(geno)2","beta",2.47748503683078,0.747225979119743,1.97201979424847,2.9906238736671,1.02566998694033,3.96026897147196,0.999920071494775,"none","none",1
"b[12]","max_rgr","(trt)15:(geno)5","beta",-1.04588715785064,0.71092254373073,-1.52282052188036,-0.563662973197708,-2.45230708198218,0.331573011865902,0.999904458526763,"none","none",0.88
"b[13]","max_rgr","(trt)20:(geno)5","beta",-2.071810880556,0.733451726254286,-2.56366311839498,-1.57823163447617,-3.51206186967488,-0.644226686334663,0.999970148124947,"none","none",1
"b[14]","max_rgr","(trt)25:(geno)5","beta",-1.40670657641021,0.730554019700023,-1.89682536298882,-0.904891073541545,-2.84936478845746,0.00429902806477998,0.999913516584773,"none","none",1
"b[15]","max_rgr","(trt)30:(geno)5","beta",-1.60764773261893,0.737593286848975,-2.10316314131329,-1.10590518827684,-3.08624458096807,-0.193046799236174,1.00019392127005,"none","none",1
"G_E[1]","max_rgr","no_descr","G11[R]-G2[R]",-2.08664647831516,0.550923327602743,-2.4606821925109,-1.71810607933053,-3.16567082908256,-1.01022868168497,1.00018624129399,"none","none",1
"G_E[2]","max_rgr","no_descr","G11[R]-G5",1.72713466667709,0.554904714135073,1.35004347491267,2.10172772204812,0.635864214409503,2.82812146452641,0.999852410561215,"none","none",1
"G_E[3]","max_rgr","no_descr","G2[R]-G5",3.81378114499225,0.561729835142745,3.43106319113493,4.18894222295078,2.7135872803369,4.92527082651626,1.00005816668017,"none","none",1
"T_E[1]","max_rgr","no_descr","trt_effect",3.43874827280945,0.407452519309459,3.16337213318407,3.71033910486394,2.63705581948392,4.23665227435825,0.999992165665748,"none","none",1
"I_E[1]","max_rgr","no_descr","int_effect",-0.0847060085455489,0.463568618513479,-0.393785174860812,0.227202440674781,-0.991069650480829,0.826849361168374,0.999962941337281,"none","none",0.55
"Y[1]","max_rgr","no_descr","posterior value",1.12637305782619,0.371599622393103,0.878495109042533,1.37108171087369,0.399116060627976,1.86547649286624,0.999982085007647,"G11","10",1
"Y[2]","max_rgr","no_descr","posterior value",2.89187561245509,0.382303448584256,2.63401400511624,3.14664011750985,2.14134787565577,3.64077462955785,1.00005272731545,"G11","15",1
"Y[3]","max_rgr","no_descr","posterior value",5.39397934975983,0.393121437959871,5.13328453206927,5.6629128551808,4.62241523376312,6.16061985827698,0.999948071017392,"G11","20",1
"Y[4]","max_rgr","no_descr","posterior value",5.26297374338558,0.401882329298586,4.99089265806525,5.53732029579664,4.48003689472564,6.03482926021308,1.00003022201505,"G11","25",1
"Y[5]","max_rgr","no_descr","posterior value",4.71165661694208,0.390422404777069,4.4496790182848,4.97585585070823,3.94565602379336,5.4777188336817,1.0000167309987,"G11","Sat'd",1
"Y[6]","max_rgr","no_descr","posterior value",2.05614548870373,0.364075114250859,1.80804715039605,2.30345207262164,1.3521152786641,2.77007757027787,0.999859057177253,"G2","10",1
"Y[7]","max_rgr","no_descr","posterior value",4.09166893169697,0.394178375740579,3.8256252717302,4.35674319768272,3.32191256049992,4.86192959334393,0.999820814327945,"G2","15",1
"Y[8]","max_rgr","no_descr","posterior value",7.48062582807499,0.391616700233003,7.21696896853383,7.74931002713699,6.70124916845711,8.24468369879867,1.00014704657182,"G2","20",1
"Y[9]","max_rgr","no_descr","posterior value",7.74277048070175,0.393308345501748,7.47655176982842,8.00713541990973,6.97028320525402,8.50660892968539,0.999884196547575,"G2","25",1
"Y[10]","max_rgr","no_descr","posterior value",8.1189140846504,0.408335829428067,7.84273487760395,8.39379076857552,7.3252555361614,8.91682100991919,0.999998006685574,"G2","Sat'd",1
"Y[11]","max_rgr","no_descr","posterior value",1.4710492717051,0.377638833168239,1.21734420155404,1.72539273138961,0.732773028213348,2.22137410768236,0.999950021109337,"G5","10",1
